timestamp,effective_timestamp,strategy,reason,turnover,drift,weight_BTCUSDT,weight_ETHUSDT,weight_BNBUSDT,weight_SOLUSDT,weight_XRPUSDT,weight_ADAUSDT
2026-03-05T03:37:00+00:00,2026-03-05T03:37:00+00:00,weekly_inverse_volatility,scheduled,1.0,0.0,0.20368053236351713,0.156595605909548,0.20861577806080084,0.14152671812332132,0.14444578501935326,0.14513558052345957
2026-03-12T03:37:00+00:00,2026-03-12T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.03318387448706528,0.0,0.1969641653190606,0.15611117365219151,0.21573240557465,0.1407377560221384,0.15392109474903667,0.1365334046829228
2026-03-19T03:37:00+00:00,2026-03-19T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.0190204072480466,0.0,0.19550057433386925,0.15308343873985036,0.2204036841701324,0.1393996950499569,0.1587600197775776,0.1328525879286135
2026-03-26T03:37:00+00:00,2026-03-26T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.016824895946573215,0.0,0.19194110944645648,0.14832095295340694,0.22490327072004887,0.13930919775052644,0.16209502274894025,0.13343044638062096
2026-04-02T03:37:00+00:00,2026-04-02T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.015695752685454867,0.0,0.18786196021862886,0.1468365722706893,0.22566981180886447,0.13795622067808955,0.16917635800285213,0.13249907702087574
2026-04-09T03:37:00+00:00,2026-04-09T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.009415026447158192,0.0,0.19099927289954752,0.14743784444070224,0.22481184533177034,0.13892514905073702,0.1688698049306245,0.12895608334661837
2026-04-16T03:37:00+00:00,2026-04-16T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.010682885204882059,0.0,0.1895667788732281,0.14481331372730388,0.22632588674510817,0.13908035805687982,0.17254199711358492,0.12767166548389514
2026-04-23T03:37:00+00:00,2026-04-23T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.010483952825726034,0.0,0.1889337543956744,0.14849784419784223,0.22494951472537655,0.13990991748180792,0.1732698836309815,0.12443908556831745
2026-04-30T03:37:00+00:00,2026-04-30T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.006231639787569687,0.0,0.18928054818758494,0.14871648064494844,0.22548073304976302,0.14192908881218957,0.17212783026196932,0.12246531904354482
2026-05-07T03:37:00+00:00,2026-05-07T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.01522379856058706,0.0,0.18572069740283662,0.14749842560720883,0.2268253273721839,0.14625684447170614,0.1692938368041637,0.1244048683419009
2026-05-14T03:37:00+00:00,2026-05-14T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.03929093923479547,0.0,0.19542310260241758,0.1574414900250256,0.21698044886070075,0.14504874110037042,0.16368123222322162,0.12142498518826413
2026-05-21T03:37:00+00:00,2026-05-21T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.025454623452179484,0.0,0.20344967566585825,0.15965322512681404,0.2065441053710812,0.14393102771428087,0.16250797737284098,0.12391398874912476
2026-05-28T03:37:00+00:00,2026-05-28T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.020849075611950263,0.0,0.2126219865130875,0.1609054520855599,0.2045718128926924,0.13978683273424802,0.1590571775247953,0.12305673824961691
2026-06-04T03:37:00+00:00,2026-06-04T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.05990138430027431,0.0,0.22192204402400734,0.1697148657195416,0.17462112074255523,0.14308715170103187,0.16283157685802857,0.12782324095483538
2026-06-11T03:37:00+00:00,2026-06-11T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.026748739375819827,0.0,0.21769570111741268,0.1661016566459753,0.1860047109046863,0.14380297253346835,0.16410653555137095,0.12228842324708646
2026-06-18T03:37:00+00:00,2026-06-18T03:37:00+00:00,weekly_inverse_volatility,scheduled,0.014025759738719917,0.0,0.21729639353118707,0.16561094225488232,0.19301759077404626,0.14311075893228511,0.16314834793715582,0.11781596657044345
2026-03-05T03:37:00+00:00,2026-03-05T03:37:00+00:00,threshold_inverse_volatility,initial,1.0,0.0,0.20368053236351713,0.156595605909548,0.20861577806080084,0.14152671812332132,0.14444578501935326,0.14513558052345957
2026-04-13T23:19:00+00:00,2026-04-13T23:20:00+00:00,threshold_inverse_volatility,drift_threshold,0.11337426180898294,0.020237606697740523,0.19191853948178708,0.14526515306975113,0.22572481310984818,0.13942075856352928,0.1696525041853558,0.1280182315897286
2026-05-30T02:40:00+00:00,2026-05-30T02:41:00+00:00,threshold_inverse_volatility,drift_threshold,0.11662405851023536,0.020015614309044416,0.21350077847636448,0.16296599757993344,0.20430129648826476,0.1395712116616729,0.15703054339637532,0.12263017239738916
2026-05-31T02:48:00+00:00,2026-05-31T02:49:00+00:00,threshold_inverse_volatility,drift_threshold,0.06166789677558965,0.020170176415110763,0.21714258513516288,0.16574090771085154,0.19363752451558064,0.14117491394099746,0.1584634539208076,0.12384061477659986
2026-06-05T03:26:00+00:00,2026-06-05T03:27:00+00:00,threshold_inverse_volatility,drift_threshold,0.04957642424137934,0.020285909768491567,0.2204977235718986,0.17150975014370567,0.1755501308438625,0.14301645540047392,0.16351884954235374,0.1259070904977056
